,id,latitude,longtitude,engine_speed,operate_mode
0,0,39.5325249,116.290917,1000,1
1,1,39.53100408,116.2909406,1500,0
2,2,39.53096943,116.2909319,1500,0
3,3,39.53094002,116.2909067,1500,0
4,4,39.53092035,116.2908689,1500,0
5,5,39.53091346,116.2908256,1000,0
6,6,39.53091329,116.2907861,1500,0
7,7,39.53091978,116.2907413,1500,0
8,8,39.53093911,116.2907031,1500,0
9,9,39.53096829,116.2906775,1500,0
10,10,39.53100286,116.2906683,1000,1
11,11,39.53253613,116.2906445,1500,0
12,12,39.53257152,116.2906566,1500,0
13,13,39.53260028,116.2906858,1500,0
14,14,39.53261767,116.2907274,1500,0
15,15,39.53262144,116.2907593,1000,0
16,16,39.53262103,116.2907692,1500,0
17,17,39.53261403,116.2908155,1500,0
18,18,39.53259332,116.2908545,1500,0
19,19,39.53256233,116.2908796,1500,0
20,20,39.53252615,116.2908867,1000,1
21,21,39.53100394,116.2909103,1500,0
22,22,39.53096929,116.2909017,1500,0
23,23,39.53093988,116.2908765,1500,0
24,24,39.53092022,116.2908386,1500,0
25,25,39.53091333,116.2907954,1000,0
26,26,39.53091315,116.2907558,1500,0
27,27,39.53091965,116.290711,1500,0
28,28,39.53093897,116.2906729,1500,0
29,29,39.53096816,116.2906472,1500,0
30,30,39.53100273,116.2906381,1000,1
31,31,39.53253738,116.2906143,1500,0
32,32,39.53257277,116.2906263,1500,0
33,33,39.53260153,116.2906555,1500,0
34,34,39.53261891,116.2906971,1500,0
35,35,39.53262269,116.2907291,1000,0
36,36,39.53262228,116.2907389,1500,0
37,37,39.53261528,116.2907853,1500,0
38,38,39.53259457,116.2908242,1500,0
39,39,39.53256357,116.2908493,1500,0
40,40,39.5325274,116.2908565,1000,1
41,41,39.53100381,116.2908801,1500,0
42,42,39.53096916,116.2908714,1500,0
43,43,39.53093975,116.2908462,1500,0
44,44,39.53092008,116.2908084,1500,0
45,45,39.53091319,116.2907651,1000,0
46,46,39.53091302,116.2907256,1500,0
47,47,39.53091951,116.2906808,1500,0
48,48,39.53093884,116.2906426,1500,0
49,49,39.53096802,116.290617,1500,0
50,50,39.53100259,116.2906078,1000,1
51,51,39.53253863,116.290584,1500,0
52,52,39.53257402,116.290596,1500,0
53,53,39.53260278,116.2906253,1500,0
54,54,39.53262016,116.2906669,1500,0
55,55,39.53262393,116.2906988,1000,0
56,56,39.53262353,116.2907086,1500,0
57,57,39.53261653,116.290755,1500,0
58,58,39.53259582,116.290794,1500,0
59,59,39.53256482,116.2908191,1500,0
