134,39.53263755N,116.29174813E,17.9266
135,39.53263686N,116.29176224E,17.9026
136,39.53263583N,116.29177573E,17.8747
137,39.53263444N,116.29179129E,17.9079
138,39.53263325N,116.29180529E,17.9776
139,39.53263223N,116.29182103E,17.9188
140,39.53263174N,116.29183662E,17.9902
141,39.53263214N,116.29185113E,17.7870
142,39.53263325N,116.29186626E,17.8406
143,39.53263462N,116.29187932E,17.6995
144,39.53263448N,116.29189482E,17.9273
145,39.53263529N,116.29191003E,17.8253
146,39.53263595N,116.29192464E,17.8165
147,39.53263518N,116.29193836E,17.7974
148,39.53263326N,116.29195157E,17.7829
149,39.53263201N,116.29196589E,17.9421
150,39.53263205N,116.29197893E,17.9415
151,39.53263215N,116.29199334E,17.8621
152,39.53263246N,116.29200728E,17.9179
153,39.53263276N,116.29202187E,17.9541
154,39.53263271N,116.29203799E,17.8952
155,39.53263223N,116.29205313E,17.8723
156,39.53263218N,116.29206858E,17.8423
157,39.53263339N,116.29208292E,17.9529
158,39.53263404N,116.29209808E,17.9539
159,39.53263379N,116.29211344E,17.9407
160,39.53263246N,116.29212834E,17.9321
161,39.53263125N,116.29214440E,17.9369
162,39.53263233N,116.29216038E,17.9312
163,39.53263324N,116.29217414E,17.9412
164,39.53263319N,116.29218734E,17.9816
165,39.53263324N,116.29220117E,17.9982
166,39.53263310N,116.29221538E,18.0220
167,39.53263327N,116.29223062E,18.0177
168,39.53263353N,116.29224479E,18.0582
169,39.53263386N,116.29225699E,18.0401
170,39.53263392N,116.29227252E,18.1094
171,39.53263476N,116.29228707E,18.0873
172,39.53263539N,116.29230122E,18.0164
173,39.53263378N,116.29231359E,18.0122
174,39.53262789N,116.29231857E,17.9728
175,39.53261858N,116.29232098E,18.0197
176,39.53260865N,116.29232379E,18.0445
177,39.53259883N,116.29232918E,18.0121
178,39.53259037N,116.29233591E,18.0262
179,39.53258481N,116.29234659E,18.0298
180,39.53258172N,116.29235570E,18.0301
181,39.53257509N,116.29236278E,18.0432
182,39.53256765N,116.29236619E,18.1039
183,39.53255741N,116.29236752E,18.0182
184,39.53254597N,116.29236944E,17.9946
185,39.53253347N,116.29237093E,17.9955
186,39.53252285N,116.29237171E,17.9651
187,39.53251237N,116.29237298E,18.0416
188,39.53250193N,116.29237378E,18.1004
189,39.53249189N,116.29237244E,18.0617
190,39.53248093N,116.29237229E,17.9594
191,39.53247028N,116.29237316E,18.0940
192,39.53245990N,116.29237268E,18.0900
193,39.53244900N,116.29237315E,18.0735
194,39.53243970N,116.29237373E,18.1134
195,39.53242925N,116.29237472E,18.0732
196,39.53241875N,116.29237434E,18.0723
197,39.53240785N,116.29237397E,18.1239
198,39.53239635N,116.29237441E,18.0880
199,39.53238682N,116.29237246E,18.0604
200,39.53237675N,116.29237296E,18.0109
201,39.53236477N,116.29237463E,17.9612
202,39.53235359N,116.29237408E,17.9540
203,39.53234343N,116.29237194E,18.0535
204,39.53233516N,116.29237158E,18.0628
205,39.53232517N,116.29237083E,18.0237
206,39.53231465N,116.29237027E,18.0295
207,39.53230355N,116.29236940E,18.0454
208,39.53229390N,116.29236771E,18.0102
209,39.53228394N,116.29236622E,18.0151
210,39.53227388N,116.29236483E,18.0449
211,39.53226371N,116.29236285E,17.9829
212,39.53225345N,116.29236397E,18.0058
213,39.53224265N,116.29236214E,18.1534
214,39.53223176N,116.29236175E,18.2329
215,39.53222012N,116.29236105E,18.1910
216,39.53220939N,116.29235881E,18.1858
217,39.53219850N,116.29235706E,18.1204
218,39.53218809N,116.29235636E,18.1153
219,39.53217676N,116.29235675E,18.1048
220,39.53216418N,116.29235614E,18.0765
221,39.53215241N,116.29235610E,18.1555
222,39.53214153N,116.29235625E,18.1620
223,39.53212986N,116.29235604E,18.1163
224,39.53211795N,116.29235562E,18.0902
225,39.53210627N,116.29235426E,18.1223
226,39.53209459N,116.29235294E,18.1103
227,39.53208309N,116.29235336E,18.0840
228,39.53207157N,116.29235312E,18.0538
229,39.53205903N,116.29235208E,18.0735
230,39.53204897N,116.29235109E,18.0597
231,39.53202507N,116.29235455E,18.1115
232,39.53202507N,116.29235455E,18.1115
233,39.53200211N,116.29235254E,18.0907
234,39.53198953N,116.29235251E,18.1131
235,39.53198953N,116.29235251E,18.1131
236,39.53196436N,116.29235131E,17.9730
237,39.53195417N,116.29235136E,18.0195
238,39.53194292N,116.29234915E,18.0045
239,39.53194292N,116.29234915E,18.0045
240,39.53193120N,116.29234809E,18.0530
241,39.53190908N,116.29234708E,18.0209
242,39.53189871N,116.29234556E,18.0511
243,39.53189871N,116.29234556E,18.0511
244,39.53187820N,116.29234316E,18.0563
245,39.53186978N,116.29234071E,18.0978
246,39.53186210N,116.29233733E,18.0145
247,39.53185200N,116.29233585E,18.0504
248,39.53184159N,116.29233547E,18.0059
249,39.53182918N,116.29233501E,17.8901
250,39.53182048N,116.29233572E,17.9852
251,39.53182048N,116.29233572E,17.9852
252,39.53180150N,116.29234106E,18.0527
253,39.53179046N,116.29234243E,18.0059
254,39.53177908N,116.29234201E,17.9857
255,39.53176823N,116.29234189E,17.9832
256,39.53175827N,116.29234197E,18.0248
257,39.53174717N,116.29234160E,17.9668
258,39.53173630N,116.29234053E,17.9953
259,39.53172485N,116.29233965E,17.9783
260,39.53171342N,116.29234051E,17.9933
261,39.53170223N,116.29233885E,18.1263
262,39.53169304N,116.29233546E,18.0535
263,39.53168288N,116.29233212E,18.0896
264,39.53167290N,116.29233253E,18.0268
265,39.53166180N,116.29233303E,18.1114
266,39.53165038N,116.29233373E,18.1450
267,39.53163941N,116.29233306E,18.0988
268,39.53162856N,116.29233218E,18.0831
269,39.53181552N,116.29234025E,18.1430
270,39.53181245N,116.29233967E,18.1019
271,39.53180498N,116.29233867E,18.0964
272,39.53179362N,116.29233841E,18.0194
273,39.53178238N,116.29233839E,18.0513
274,39.53177071N,116.29233678E,18.1227
275,39.53175880N,116.29233592E,18.0926
276,39.53174729N,116.29233514E,18.0501
277,39.53173601N,116.29233383E,18.0265
278,39.53172353N,116.29233504E,18.0432
279,39.53171127N,116.29233504E,18.0844
280,39.53169902N,116.29233445E,18.0614
281,39.53168830N,116.29233436E,18.0596
282,39.53167701N,116.29233346E,18.0611
283,39.53166462N,116.29233291E,18.0356
284,39.53165237N,116.29233316E,18.0466
285,39.53164141N,116.29233350E,18.0993
286,39.53163027N,116.29233249E,18.0289
287,39.53161971N,116.29233067E,18.0281
288,39.53160716N,116.29232973E,17.9946
289,39.53159577N,116.29232946E,18.0067
290,39.53157367N,116.29232881E,18.0839
291,39.53156264N,116.29232704E,18.0540
292,39.53155118N,116.29232718E,17.9876
293,39.53153884N,116.29232629E,18.0435
294,39.53152744N,116.29232588E,18.0423
295,39.53151720N,116.29232433E,17.9909
296,39.53150603N,116.29232407E,17.9748
297,39.53149526N,116.29232371E,18.0603
298,39.53148516N,116.29232276E,18.1059
299,39.53147510N,116.29232279E,18.0427
300,39.53146473N,116.29232299E,18.0950
301,39.53145438N,116.29232398E,18.0745
302,39.53144561N,116.29232305E,18.1251
303,39.53143613N,116.29232003E,18.0442
304,39.53142550N,116.29231682E,18.0156
305,39.53141340N,116.29231709E,17.9968
306,39.53140168N,116.29231760E,17.9852
307,39.53138939N,116.29231685E,17.9919
308,39.53137774N,116.29231559E,17.9943
309,39.53136600N,116.29231512E,18.0350
310,39.53135487N,116.29231416E,18.0511
311,39.53134402N,116.29231308E,18.0104
312,39.53133353N,116.29231340E,18.0026
313,39.53132129N,116.29231283E,18.0096
314,39.53131033N,116.29231341E,17.9931
315,39.53128706N,116.29231421E,17.9059
316,39.53127655N,116.29231276E,17.9477
317,39.53126592N,116.29231224E,17.9945
318,39.53125518N,116.29231147E,17.9511
319,39.53124531N,116.29230980E,17.9518
320,39.53123417N,116.29231018E,17.9508
321,39.53122311N,116.29231113E,17.8738
322,39.53121217N,116.29230983E,17.8890
323,39.53120356N,116.29230887E,17.9840
324,39.53119216N,116.29230697E,18.0028
325,39.53118517N,116.29230534E,18.0160
326,39.53117779N,116.29230530E,17.9904
327,39.53116887N,116.29230609E,17.9516
328,39.53115734N,116.29230600E,17.8935
329,39.53114579N,116.29230283E,17.9587
330,39.53113521N,116.29230221E,17.9890
331,39.53112388N,116.29230269E,17.9795
332,39.53111258N,116.29230329E,17.9160
333,39.53110171N,116.29230239E,17.9077
334,39.53109048N,116.29230261E,17.9438
335,39.53107941N,116.29230303E,17.9639
336,39.53106815N,116.29230340E,17.8645
337,39.53105743N,116.29230335E,17.9137
338,39.53104646N,116.29230318E,18.0371
339,39.53102729N,116.29229813E,17.7249
340,39.53100662N,116.29230162E,17.9332
341,39.53100600N,116.29230116E,17.9224
