134,39.53267481N,116.29145119E,17.8517
135,39.53267383N,116.29146442E,17.9050
136,39.53267386N,116.29147814E,17.8790
137,39.53267380N,116.29149196E,17.9279
138,39.53266979N,116.29150346E,17.8212
139,39.53266633N,116.29151502E,17.8714
140,39.53266074N,116.29152506E,17.9534
141,39.53264661N,116.29153742E,17.8002
142,39.53264623N,116.29154815E,17.8003
143,39.53264580N,116.29156052E,17.8332
144,39.53264528N,116.29157287E,17.8507
145,39.53264452N,116.29158560E,17.8018
146,39.53264642N,116.29159650E,17.8282
147,39.53265013N,116.29160707E,17.8928
148,39.53265384N,116.29161730E,17.9988
149,39.53265739N,116.29162972E,17.8973
150,39.53266054N,116.29164393E,17.8812
151,39.53266232N,116.29165779E,17.9760
152,39.53266366N,116.29167176E,17.9097
153,39.53266505N,116.29168581E,17.9066
154,39.53266675N,116.29169861E,17.8611
155,39.53266775N,116.29171162E,17.9009
156,39.53266760N,116.29172520E,17.9364
157,39.53266748N,116.29173861E,17.8694
158,39.53266634N,116.29175140E,17.8941
159,39.53266429N,116.29176352E,17.8731
160,39.53266153N,116.29177598E,17.8767
161,39.53265929N,116.29178766E,17.8790
162,39.53265876N,116.29179871E,17.7907
163,39.53265798N,116.29181035E,17.8610
164,39.53265571N,116.29182272E,17.8458
165,39.53265441N,116.29183382E,17.8524
166,39.53265263N,116.29184497E,17.8584
167,39.53265025N,116.29187096E,17.8590
168,39.53265020N,116.29188363E,17.8281
169,39.53265114N,116.29189742E,17.7146
170,39.53265209N,116.29191079E,17.8313
171,39.53265368N,116.29192550E,17.8574
172,39.53265680N,116.29193874E,17.8616
173,39.53265946N,116.29195159E,17.7623
174,39.53266147N,116.29196469E,17.8429
175,39.53266263N,116.29197866E,17.8804
176,39.53266267N,116.29199283E,17.9360
177,39.53266249N,116.29200629E,17.9966
178,39.53266418N,116.29202106E,17.8728
179,39.53266536N,116.29203506E,17.8662
180,39.53266478N,116.29204860E,17.9211
181,39.53266311N,116.29206107E,17.8397
182,39.53266169N,116.29207440E,17.8874
